1;50;50
2;65;50
4;95;50
5;110;50
6;125;50
8;155;50
12;125;58
13;150;58
15;65;66
16;65;74
18;95;74
20;110;74
21;125;74
22;155;74
25;65;82
26;80;78
27;80;82
29;110;82
31;140;82
32;155;82
33;50;86
34;65;86
35;75;86
36;85;86
37;100;86
38;115;86
39;130;86
40;145;86
41;160;86
43;65;94
44;75;94
45;80;94
47;100;94
49;130;94
50;145;94
51;160;94
52;50;100
53;65;97
56;80;97
57;80;100
58;95;97
60;110;97
61;120;100
62;135;97
63;145;100
64;160;97
65;50;108
66;65;108
67;100;108
68;120;104
71;145;108
73;160;108
75;65;112
76;120;112
77;135;112
78;145;112
79;160;112
80;50;116
81;65;116
82;75;116
83;85;116
84;95;116
86;125;116
87;135;116
88;145;116
89;160;116
90;50;120
91;65;120
92;75;120
93;125;120
94;140;120
98;110;128
99;120;128
100;135;128
